draw_date,winning_number_sum
2018-07-18,102
2018-07-14,221
2018-07-11,160
2018-07-07,163
2018-07-04,111
2018-06-30,135
2018-06-27,197
2018-06-23,189
2018-06-20,124
2018-06-16,234
2018-06-13,171
2018-06-09,92
2018-06-06,201
2018-06-02,193
2018-05-30,180
2018-05-26,147
2018-05-23,255
2018-05-19,91
2018-05-16,130
2018-05-12,220
2018-05-09,184
2018-05-05,197
2018-05-02,140
2018-04-28,165
2018-04-25,194
2018-04-21,275
2018-04-18,71
2018-04-14,185
2018-04-11,183
2018-04-07,116
2018-04-04,192
2018-03-31,200
2018-03-28,145
2018-03-24,197
2018-03-21,115
2018-03-17,264
2018-03-14,151
2018-03-10,271
2018-03-07,125
2018-03-03,131
2018-02-28,235
2018-02-24,212
2018-02-21,123
2018-02-17,184
2018-02-14,235
2018-02-10,141
2018-02-07,179
2018-02-03,166
2018-01-31,130
2018-01-27,165
2018-01-24,122
2018-01-20,208
2018-01-17,181
2018-01-13,201
2018-01-10,163
2018-01-06,165
2018-01-03,138
2017-12-30,214
2017-12-27,144
2017-12-23,76
2017-12-20,215
2017-12-16,194
2017-12-13,163
2017-12-09,213
2017-12-06,206
2017-12-02,184
2017-11-29,200
2017-11-25,155
2017-11-22,230
2017-11-18,147
2017-11-15,197
2017-11-11,112
2017-11-08,101
2017-11-04,151
2017-11-01,98
2017-10-28,223
2017-10-25,180
2017-10-21,211
2017-10-18,268
2017-10-14,260
2017-10-11,105
2017-10-07,248
2017-10-04,236
2017-09-30,150
2017-09-27,87
2017-09-23,237
2017-09-20,275
2017-09-16,115
2017-09-13,196
2017-09-09,171
2017-09-06,179
2017-09-02,182
2017-08-30,226
2017-08-26,158
2017-08-23,78
2017-08-19,186
2017-08-16,191
2017-08-12,154
2017-08-09,187
2017-08-05,138
2017-08-02,203
2017-07-29,162
2017-07-26,158
2017-07-22,194
2017-07-19,284
2017-07-15,242
2017-07-12,105
2017-07-08,146
2017-07-05,151
2017-07-01,207
2017-06-28,233
2017-06-24,158
2017-06-21,254
2017-06-17,170
2017-06-14,190
2017-06-07,218
2017-06-03,128
2017-05-31,182
2017-05-27,165
2017-05-24,193
2017-05-20,173
2017-05-17,147
2017-05-13,200
2017-05-10,224
2017-05-06,163
2017-05-03,209
2017-04-29,176
2017-04-26,111
2017-04-22,212
2017-04-19,149
2017-04-15,159
2017-04-12,214
2017-04-08,223
2017-04-05,181
2017-04-01,186
2017-03-29,152
2017-03-25,174
2017-03-22,109
2017-03-18,203
2017-03-15,188
2017-03-11,175
2017-03-08,203
2017-03-04,124
2017-03-01,173
2017-03-01,173
2017-02-25,212
2017-02-22,164
2017-02-18,83
2017-02-15,146
2017-02-11,132
2017-02-08,191
2017-02-04,104
2017-02-01,233
2017-01-28,189
2017-01-25,242
2017-01-21,212
2017-01-18,201
2017-01-14,270
2017-01-11,76
2017-01-07,139
2017-01-04,145
2016-12-31,156
2016-12-28,171
2016-12-24,211
2016-12-21,220
2016-12-17,113
2016-12-14,186
2016-12-10,175
2016-12-07,255
2016-12-03,104
2016-11-30,105
2016-11-26,138
2016-11-23,188
2016-11-19,172
2016-11-16,258
2016-11-12,124
2016-11-09,139
2016-11-05,222
2016-11-02,183
2016-10-29,150
2016-10-26,125
2016-10-22,173
2016-10-19,170
2016-10-15,260
2016-10-12,161
2016-10-08,250
2016-10-05,142
2016-10-01,189
2016-09-28,235
2016-09-24,112
2016-09-21,228
2016-09-17,196
2016-09-14,103
2016-09-10,192
2016-09-07,162
2016-09-03,222
2016-08-31,156
2016-08-27,196
2016-08-24,174
2016-08-20,158
2016-08-17,228
2016-08-13,275
2016-08-10,271
2016-08-06,188
2016-08-03,180
2016-07-30,104
2016-07-27,240
2016-07-23,109
2016-07-20,190
2016-07-16,180
2016-07-13,158
2016-07-09,195
2016-07-06,180
2016-07-02,205
2016-06-29,213
2016-06-25,191
2016-06-22,191
2016-06-18,182
2016-06-15,114
2016-06-11,182
2016-06-08,203
2016-06-04,165
2016-06-01,195
2016-05-28,190
2016-05-25,199
2016-05-21,76
2016-05-18,208
2016-05-14,216
2016-05-11,239
2016-05-07,166
2016-05-04,269
2016-04-30,97
2016-04-27,163
2016-04-23,221
2016-04-20,181
2016-04-16,129
2016-04-13,200
2016-04-09,161
2016-04-06,206
2016-04-02,168
2016-03-30,239
2016-03-26,196
2016-03-23,99
2016-03-19,191
2016-03-16,131
2016-03-12,208
2016-03-09,171
2016-03-05,192
2016-03-02,183
2016-02-27,117
2016-02-24,248
2016-02-20,108
2016-02-17,120
2016-02-13,95
2016-02-10,157
2016-02-06,136
2016-02-03,212
2016-01-30,107
2016-01-27,174
2016-01-23,197
2016-01-20,204
2016-01-16,231
2016-01-13,92
2016-01-09,158
2016-01-06,185
2016-01-02,97
2015-12-30,201
2015-12-26,235
2015-12-23,239
2015-12-19,226
2015-12-16,148
2015-12-12,127
2015-12-09,135
2015-12-05,188
2015-12-02,147
2015-11-28,188
2015-11-25,225
2015-11-21,243
2015-11-18,213
2015-11-14,184
2015-11-11,181
2015-11-07,151
2015-11-04,116
2015-10-31,169
2015-10-28,239
2015-10-24,231
2015-10-21,217
2015-10-17,285
2015-10-14,135
2015-10-10,179
2015-10-07,188
2015-10-03,155
2015-09-30,214
2015-09-26,203
2015-09-23,187
2015-09-19,146
2015-09-16,106
2015-09-12,69
2015-09-09,237
2015-09-05,118
2015-09-02,171
2015-08-29,121
2015-08-26,157
2015-08-22,106
2015-08-19,155
2015-08-15,127
2015-08-12,140
2015-08-08,197
2015-08-05,92
2015-08-01,150
2015-07-29,133
2015-07-25,175
2015-07-22,187
2015-07-18,182
2015-07-15,158
2015-07-11,202
2015-07-08,101
2015-07-04,65
2015-07-01,129
2015-06-27,176
2015-06-24,72
2015-06-20,112
2015-06-17,158
2015-06-13,224
2015-06-10,213
2015-06-06,109
2015-06-03,104
2015-05-30,155
2015-05-27,169
2015-05-23,115
2015-05-20,120
2015-05-16,191
2015-05-13,133
2015-05-09,129
2015-05-06,154
2015-05-02,80
2015-04-29,150
2015-04-25,172
2015-04-22,141
2015-04-18,118
2015-04-15,107
2015-04-11,145
2015-04-08,169
2015-04-04,207
2015-04-01,148
2015-03-28,62
2015-03-25,153
2015-03-21,137
2015-03-18,149
2015-03-14,154
2015-03-11,150
2015-03-07,200
2015-03-04,120
2015-02-28,127
2015-02-25,128
2015-02-21,127
2015-02-18,120
2015-02-14,165
2015-02-11,142
2015-02-07,128
2015-02-04,219
2015-01-31,108
2015-01-28,156
2015-01-24,117
2015-01-21,123
2015-01-17,117
2015-01-14,110
2015-01-10,87
2015-01-07,184
2015-01-03,166
2014-12-31,174
2014-12-27,78
2014-12-24,166
2014-12-20,135
2014-12-17,186
2014-12-13,144
2014-12-10,235
2014-12-06,141
2014-12-03,187
2014-11-29,157
2014-11-26,155
2014-11-22,236
2014-11-19,179
2014-11-15,148
2014-11-12,234
2014-11-08,153
2014-11-05,95
2014-11-01,80
2014-10-29,217
2014-10-25,178
2014-10-22,191
2014-10-18,163
2014-10-15,86
2014-10-11,143
2014-10-08,148
2014-10-04,113
2014-10-01,88
2014-09-27,154
2014-09-24,107
2014-09-20,151
2014-09-17,177
2014-09-13,113
2014-09-10,138
2014-09-06,162
2014-09-03,157
2014-08-30,175
2014-08-27,158
2014-08-23,183
2014-08-20,111
2014-08-16,139
2014-08-13,176
2014-08-09,131
2014-08-06,110
2014-08-02,175
2014-07-30,187
2014-07-26,159
2014-07-23,79
2014-07-19,150
2014-07-16,96
2014-07-12,86
2014-07-09,188
2014-07-05,209
2014-07-02,182
2014-06-25,158
2014-06-21,143
2014-06-18,155
2014-06-14,183
2014-06-11,139
2014-06-07,210
2014-06-04,89
2014-05-31,155
2014-05-28,145
2014-05-24,163
2014-05-21,155
2014-05-17,190
2014-05-14,186
2014-05-10,178
2014-05-07,174
2014-05-03,131
2014-04-30,91
2014-04-26,95
2014-04-23,157
2014-04-19,126
2014-04-16,218
2014-04-12,194
